date,open,high,low,close,volume
2020-07-21,3330.547,3336.679,3300.572,3320.895,35925202900
2020-07-22,3315.182,3381.976,3311.786,3333.164,39333533500
2020-07-23,3306.149,3336.3,3257.827,3325.11,40704249900
2020-07-24,3310.645,3319.127,3184.965,3196.768,42705402600
2020-07-27,3210.386,3221.985,3174.658,3205.227,29931902100
2020-07-28,3226.133,3245.297,3208.494,3227.96,28937786100
2020-07-29,3221.988,3294.552,3209.99,3294.552,32492406200
2020-07-30,3299.572,3312.451,3282.162,3286.822,34070412100
2020-07-31,3280.796,3333.786,3261.614,3310.007,35375897900
2020-08-03,3332.183,3368.103,3327.677,3367.966,40746086700
2020-08-04,3376.44,3391.074,3352.502,3371.688,44232855100
2020-08-05,3363.332,3383.637,3333.877,3377.565,38582302700
2020-08-06,3380.762,3392.705,3334.334,3386.463,41530251000
2020-08-07,3370.588,3374.133,3307.713,3354.035,40392963300
2020-08-10,3341.528,3399.932,3335.043,3379.252,38137963000
2020-08-11,3379.487,3409.059,3336.095,3340.29,40045270600
2020-08-12,3327.493,3335.729,3263.265,3319.266,37832895900
2020-08-13,3328.175,3338.152,3309.463,3320.726,32429127800
2020-08-14,3315.669,3362.027,3302.736,3360.099,30599837600
2020-08-17,3373.902,3450.899,3369.374,3438.801,43459826000
2020-08-18,3441.934,3456.721,3432.64,3451.089,38072927500
2020-08-19,3444.565,3454.461,3406.164,3408.129,40572221400
2020-08-20,3385.965,3394.557,3352.777,3363.899,33560098200
2020-08-21,3380.227,3393.918,3358.001,3380.683,28748834000
2020-08-24,3391.113,3396.566,3368.026,3385.638,26622784100
2020-08-25,3392.88,3408.87,3364.16,3373.578,27711342100
2020-08-26,3371.808,3382.603,3320.136,3329.739,29445103600
2020-08-27,3333.491,3351.832,3312.986,3350.113,23709935300
2020-08-28,3346.289,3405.877,3339.649,3403.807,27132554900
2020-08-31,3416.55,3442.736,3395.468,3395.678,32347389000
2020-09-01,3389.742,3410.607,3381.711,3410.607,24699924900
2020-09-02,3420.469,3421.396,3377.211,3404.802,26154631900
2020-09-03,3404.032,3425.629,3374.263,3384.981,25534627900
2020-09-04,3336.408,3360.106,3328.552,3355.367,22163655000
